time,CSI
5.476296663284302,"[0;32mI (8726) esp_netif_handlers: sta ip: 192.168.4.2, mask: 255.255.255.0, gw: 192.168."
5.521622180938721,"[0m
initial wifi connection established.
sending frames.
CSI_DATA,STA,B8:D6:1A:81:A7:79,-55,11,1,7,1,1,1,0,0,0,0,-90,0,6,1,8091046,0,82,0,0,8.469"
6.6686177253723145,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -11 -13 -13 -13 -13 -13 -13 -12 -13 -12 -14 -12 -14 -11 -14 -11 -14 -10 -15 -10 -15 -9 -15 -9 -15 -9 -15 -8 -15 -8 -15 -8 -15 -8 -15 -7 -14 -7 -14 -7 -14 -7 -14 -7 -14 -7 -13 -7 -13 -7 -13 0 0 -8 -12 -8 -11 -8 -11 -8 -11 -8 -10 -9 -10 -9 -10 -9 -9 -10 -9 -10 -9 -10 -8 -11 -8 -11 -8 -11 -7 -12 -7 -13 -7 -13 -7 -13 -7 -14 -6 -15 -6 -15 -6 -16 -6 -16 -6 -17 -6 -17 -6 -17 -6 0 0 0 0 0 0 0 0 0 0 ]
6.764178037643433,[110 96 6 0 0 0 0 0 0 0 0 0 -3 15 -3 15 -5 15 -5 15 -5 15 -6 15 -6 15 -7 14 -7 14 -8 14 -7 14 -8 14 -8 13 -8 13 -9 13 -8 13 -8 12 -8 12 -8 12 -8 11 -8 11 -8 11 -8 11 -8 11 -7 11 -7 11 0 0 -6 11 -6 11 -5 10 -5 11 -5 11 -5 11 -4 11 -4 11 -3 11 -3 12 -2 12 -2 12 -2 12 -2 12 -1 13 0 13 0 13 0 14 0 14 1 14 1 15 1 15 1 15 1 15 2 16 2 16 0 0 0 0 0 0 0 0 0 0 ]
6.878616809844971,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -2 -17 -3 -17 -4 -17 -4 -17 -5 -17 -5 -16 -4 -16 -6 -16 -5 -15 -6 -16 -7 -15 -7 -15 -8 -15 -7 -15 -7 -14 -7 -14 -7 -13 -8 -13 -7 -13 -7 -14 -7 -14 -10 -13 -7 -12 -7 -12 -6 -12 -6 0 0 -12 -5 -12 -5 -13 -4 -12 -4 -12 -4 -12 -3 -12 -2 -12 -3 -12 -2 -13 -2 -13 -1 -13 -1 -13 -1 -14 1 -14 0 -14 1 -14 1 -14 2 -15 2 -14 3 -15 2 -16 3 -16 3 -16 3 -17 3 -17 3 0 0 0 0 0 0 0 0 0 0 ]
6.974615097045898,[110 96 6 0 0 0 0 0 0 0 0 0 1 16 0 16 -1 16 -1 16 -2 16 -2 16 -2 16 -3 16 -4 15 -4 15 -4 15 -5 15 -5 15 -5 14 -6 14 -5 14 -6 14 -5 13 -6 13 -5 13 -6 12 -2 12 -5 12 -6 12 -5 12 -5 12 0 0 -4 11 -3 12 -3 11 -3 11 -3 11 -2 11 -2 11 -2 11 -1 11 -1 12 0 12 0 12 1 12 1 12 1 13 2 13 2 13 3 13 3 14 3 14 4 14 3 15 4 14 4 15 5 15 5 16 0 0 0 0 0 0 0 0 0 0 ]
7.073615312576294,[110 96 6 0 0 0 0 0 0 0 0 0 -8 14 -9 13 -10 13 -9 12 -11 12 -10 12 -11 12 -12 11 -11 11 -13 10 -13 10 -13 10 -13 9 -12 9 -13 9 -12 9 -12 9 -12 8 -12 8 -11 8 -12 8 -11 7 -11 8 -11 8 -11 7 -10 8 0 0 -9 7 -9 8 -9 8 -9 7 -8 9 -9 8 -8 9 -8 9 -7 10 -7 11 -6 10 -7 10 -6 10 -6 11 -6 11 -5 12 -6 12 -6 12 -5 13 -5 13 -5 13 -5 14 -5 15 -5 14 -5 15 -5 15 0 0 0 0 0 0 0 0 0 0 ]
7.1626386642456055,[110 96 6 0 0 0 0 0 0 0 0 0 7 16 5 16 5 16 5 17 4 17 3 18 3 18 2 17 2 18 1 17 1 17 0 17 -1 17 0 16 0 17 -1 16 -1 17 -1 15 -1 15 -2 14 -2 15 -2 17 -1 14 -1 14 0 13 0 13 0 0 0 13 0 13 0 13 0 13 1 12 2 12 2 12 2 12 3 12 4 12 4 12 4 13 5 12 5 13 6 12 6 13 6 13 7 13 7 13 7 13 8 14 7 13 8 14 9 14 9 14 9 14 0 0 0 0 0 0 0 0 0 0 ]
7.271456956863403,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -4 -16 -5 -16 -5 -16 -6 -16 -6 -16 -7 -15 -8 -15 -8 -15 -8 -15 -9 -14 -9 -14 -9 -14 -9 -13 -9 -13 -10 -13 -9 -13 -9 -12 -8 -12 -8 -12 -9 -12 -8 -8 -13 -12 -8 -11 -8 -11 -7 -11 -7 0 0 -11 -6 -12 -6 -11 -6 -11 -5 -12 -5 -11 -5 -12 -5 -12 -4 -11 -4 -12 -3 -12 -2 -13 -3 -13 -2 -13 -2 -14 -2 -13 -2 -14 -1 -14 -1 -14 0 -15 0 -16 1 -16 1 -16 0 -16 1 -16 1 -17 1 0 0 0 0 0 0 0 0 0 0 ]
7.3706183433532715,[110 96 6 0 0 0 0 0 0 0 0 0 -15 11 -16 11 -17 8 -17 9 -16 8 -17 8 -17 7 -18 7 -18 6 -17 7 -18 7 -18 6 -18 5 -17 4 -17 5 -17 4 -17 4 -16 4 -16 4 -16 3 -16 3 -21 0 -15 4 -15 4 -14 4 -14 4 0 0 -13 4 -13 5 -13 5 -13 5 -13 5 -12 6 -12 6 -12 6 -11 7 -11 7 -11 8 -11 8 -11 9 -11 9 -10 9 -11 10 -10 10 -10 10 -11 11 -11 11 -10 13 -11 12 -11 12 -11 13 -11 13 -11 14 0 0 0 0 0 0 0 0 0 0 ]
7.472614049911499,[110 96 6 0 0 0 0 0 0 0 0 0 -17 6 -17 6 -18 5 -18 5 -18 4 -18 4 -18 3 -18 2 -18 2 -18 1 -18 1 -18 1 -18 0 -18 0 -18 -1 -18 -1 -17 -1 -16 -1 -17 -1 -16 -2 -16 -2 -19 4 -16 -1 -15 -1 -15 0 -14 -1 0 0 -14 0 -14 0 -14 1 -14 1 -14 1 -14 1 -14 2 -14 2 -13 2 -14 3 -13 3 -14 4 -14 4 -14 5 -14 5 -14 6 -14 6 -14 6 -15 6 -14 6 -15 7 -15 7 -15 8 -16 8 -15 8 -16 9 0 0 0 0 0 0 0 0 0 0 ]
7.56180477142334,[110 96 6 0 0 0 0 0 0 0 0 0 15 8 15 9 14 10 14 10 13 11 14 11 13 12 12 12 12 13 12 12 12 13 11 13 10 13 10 13 9 13 9 13 10 14 9 13 9 13 7 13 8 11 10 14 8 11 8 12 9 11 8 11 0 0 8 10 8 10 9 10 8 9 9 9 9 9 9 8 9 8 10 8 10 7 10 7 11 7 11 7 11 7 12 7 13 7 13 7 13 7 13 7 14 6 14 7 14 7 15 6 15 6 16 6 16 6 0 0 0 0 0 0 0 0 0 0 ]
7.667469263076782,[110 96 6 0 0 0 0 0 0 0 0 0 -18 2 -19 1 -18 0 -19 0 -18 -1 -19 -1 -18 -2 -19 -2 -18 -3 -18 -3 -18 -4 -18 -4 -18 -4 -17 -4 -18 -5 -16 -5 -17 -5 -15 -5 -16 -5 -16 -5 -15 -6 -12 -3 -14 -4 -15 -4 -14 -3 -15 -4 0 0 -14 -3 -14 -2 -14 -2 -13 -2 -14 -1 -14 -1 -14 0 -14 0 -14 0 -14 0 -14 1 -14 2 -14 2 -15 3 -15 3 -15 3 -15 4 -15 4 -15 5 -15 5 -16 5 -16 5 -16 6 -16 6 -17 6 -17 6 0 0 0 0 0 0 0 0 0 0 ]
7.762487173080444,[110 96 6 0 0 0 0 0 0 0 0 0 16 -6 17 -6 17 -5 17 -4 17 -4 17 -3 17 -2 17 -2 17 -1 17 -1 18 -1 17 -1 17 0 17 0 17 1 16 1 16 1 15 1 15 1 15 2 15 1 15 1 14 1 14 1 14 0 14 0 0 0 13 0 13 0 13 -1 13 -1 13 -1 13 -1 13 -2 13 -3 13 -3 13 -3 12 -4 13 -4 13 -4 13 -5 13 -5 13 -6 13 -6 14 -7 14 -7 14 -7 14 -7 14 -8 15 -8 15 -9 15 -9 15 -9 0 0 0 0 0 0 0 0 0 0 ]
7.874392032623291,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -13 -12 -14 -13 -14 -12 -15 -11 -15 -11 -17 -10 -16 -10 -16 -9 -17 -9 -16 -9 -16 -9 -16 -8 -17 -8 -16 -8 -16 -7 -16 -7 -17 -7 -15 -7 -16 -6 -16 -6 -16 -2 -11 -7 -14 -7 -15 -7 -14 -7 -14 0 0 -7 -13 -7 -12 -8 -13 -8 -12 -9 -12 -9 -12 -9 -11 -9 -11 -10 -11 -10 -11 -11 -10 -11 -10 -11 -10 -11 -10 -12 -10 -13 -10 -13 -9 -13 -10 -14 -9 -14 -9 -14 -10 -15 -9 -15 -9 -16 -9 -16 -9 -17 -9 0 0 0 0 0 0 0 0 0 0 ]
7.982283353805542,[110 96 6 0 0 0 0 0 0 0 0 0 -18 0 -19 0 -19 0 -19 -1 -20 -2 -18 -2 -18 -3 -18 -3 -18 -4 -18 -4 -18 -4 -18 -5 -18 -5 -18 -5 -18 -5 -17 -6 -17 -6 -17 -5 -16 -6 -16 -6 -16 -6 -18 -6 -16 -6 -15 -5 -15 -6 -15 -5 0 0 -15 -4 -15 -4 -14 -4 -14 -3 -14 -3 -15 -3 -15 -3 -15 -2 -15 -2 -15 -1 -15 -1 -16 -1 -15 0 -15 1 -15 1 -16 1 -16 1 -16 1 -16 2 -16 2 -16 2 -17 3 -17 2 -17 4 -17 3 -18 4 0 0 0 0 0 0 0 0 0 0 ]
8.081469058990479,[110 96 6 0 0 0 0 0 0 0 0 0 -14 12 -14 11 -16 10 -16 10 -15 9 -16 9 -17 9 -17 8 -17 7 -17 7 -17 8 -17 7 -18 7 -17 7 -18 6 -18 5 -18 5 -16 5 -17 6 -17 4 -16 4 -16 3 -16 4 -16 5 -15 5 -15 5 0 0 -15 5 -14 5 -14 6 -14 5 -14 6 -14 6 -13 5 -13 6 -13 6 -12 7 -11 8 -12 8 -12 9 -12 8 -11 9 -12 10 -10 10 -11 10 -11 10 -11 10 -11 11 -11 11 -11 11 -10 13 -10 12 -10 13 0 0 0 0 0 0 0 0 0 0 ]
8.171442031860352,[110 96 6 0 0 0 0 0 0 0 0 0 7 14 7 15 5 15 5 16 4 16 5 16 3 16 3 17 3 17 2 16 2 17 2 16 2 16 1 16 1 16 1 16 0 16 0 15 0 15 -1 15 0 14 -1 14 0 14 0 14 0 14 0 14 0 0 1 13 0 13 1 13 1 12 2 13 2 12 2 11 2 12 2 11 3 11 5 11 4 12 4 12 5 12 5 11 6 12 6 11 7 12 7 12 6 11 7 12 7 11 7 11 8 12 8 12 9 11 0 0 0 0 0 0 0 0 0 0 ]
8.279136180877686,[110 96 6 0 0 0 0 0 0 0 0 0 -20 4 -20 4 -20 3 -20 2 -21 2 -21 1 -21 1 -21 0 -21 0 -21 -1 -21 -1 -21 -2 -21 -2 -21 -3 -20 -3 -19 -3 -20 -3 -20 -3 -19 -4 -18 -4 -19 -5 -20 -5 -18 -3 -17 -2 -17 -3 -17 -3 0 0 -17 -2 -16 -2 -16 -1 -16 -1 -16 0 -16 0 -16 0 -16 0 -16 1 -16 1 -16 2 -16 2 -15 3 -16 4 -16 4 -16 5 -15 5 -16 5 -16 6 -16 6 -17 6 -15 7 -16 7 -16 8 -16 8 -18 8 0 0 0 0 0 0 0 0 0 0 ]
8.366600751876831,[110 96 6 0 0 0 0 0 0 0 0 0 17 7 17 8 16 9 16 9 16 10 15 11 15 11 15 11 15 11 14 12 14 12 13 12 14 12 13 12 13 13 12 13 11 13 11 12 11 12 10 12 10 13 10 11 9 12 10 10 10 10 10 11 0 0 10 10 10 9 10 9 11 8 11 9 11 8 11 8 11 8 11 7 12 7 12 6 12 6 13 6 13 5 13 5 14 4 13 4 14 4 14 4 15 4 14 4 15 3 15 3 15 3 16 2 15 2 0 0 0 0 0 0 0 0 0 0 ]
8.486650228500366,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -6 -18 -7 -18 -8 -18 -8 -17 -8 -17 -9 -17 -10 -17 -10 -16 -11 -15 -11 -16 -11 -16 -11 -16 -12 -15 -13 -15 -13 -14 -13 -13 -12 -14 -12 -13 -12 -13 -12 -11 -13 -12 -10 -13 -10 -13 -11 -13 -11 -12 -11 0 0 -12 -10 -12 -9 -12 -9 -12 -8 -12 -9 -13 -8 -12 -8 -13 -8 -13 -7 -13 -7 -14 -6 -15 -6 -14 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -4 -16 -4 -16 -3 -16 -3 -16 -3 -16 -2 -17 -2 -18 -2 -18 -2 0 0 0 0 0 0 0 0 0 0 ]
8.576658725738525,[110 96 6 0 0 0 0 0 0 0 0 0 11 13 10 14 9 15 9 15 9 15 8 16 8 16 7 16 7 17 6 17 7 16 7 16 6 17 6 16 5 16 5 17 5 17 5 16 4 16 4 15 4 15 4 15 5 15 5 14 4 14 5 14 0 0 5 13 5 12 5 13 6 12 6 12 6 12 6 12 7 11 7 11 8 11 8 11 8 11 8 10 8 10 9 9 10 9 10 9 11 10 11 9 10 9 11 9 11 8 12 9 12 8 12 8 13 8 0 0 0 0 0 0 0 0 0 0 ]
8.681658267974854,[110 96 6 0 0 0 0 0 0 0 0 0 10 -17 11 -16 12 -16 12 -16 12 -16 13 -16 13 -15 14 -16 14 -15 15 -15 15 -14 15 -14 15 -13 15 -13 15 -13 15 -13 15 -13 15 -11 14 -11 14 -12 15 -12 15 -7 14 -11 14 -10 14 -11 13 -11 0 0 12 -12 12 -12 11 -11 11 -12 11 -12 11 -12 10 -13 10 -13 9 -13 9 -14 8 -14 9 -14 8 -13 8 -14 8 -15 7 -15 7 -15 7 -16 6 -16 6 -16 5 -17 5 -17 5 -17 5 -17 5 -17 4 -17 0 0 0 0 0 0 0 0 0 0 ]
8.780298233032227,[110 96 6 0 0 0 0 0 0 0 0 0 -19 7 -20 7 -20 5 -20 6 -20 5 -21 5 -21 3 -21 3 -21 3 -21 2 -21 2 -21 1 -21 1 -21 0 -21 0 -20 0 -21 -1 -20 -1 -21 -1 -19 -1 -19 -1 -24 -3 -19 -1 -18 -1 -18 -1 -18 0 0 0 -17 0 -17 0 -18 0 -16 0 -17 1 -16 1 -16 2 -16 2 -15 2 -16 3 -16 3 -16 4 -16 4 -16 4 -15 5 -16 6 -15 6 -15 7 -16 7 -16 6 -16 7 -15 7 -15 8 -16 9 -15 9 -15 9 0 0 0 0 0 0 0 0 0 0 ]
8.885605812072754,[110 96 6 0 0 0 0 0 0 0 0 0 6 -20 7 -21 8 -20 9 -20 10 -20 10 -20 11 -19 11 -19 12 -19 12 -19 12 -19 12 -19 13 -18 13 -18 14 -17 13 -17 14 -17 13 -16 14 -16 14 -15 14 -15 15 -18 12 -15 12 -15 12 -14 12 -15 0 0 11 -15 11 -14 11 -15 10 -14 10 -15 9 -15 9 -15 8 -15 8 -15 7 -15 6 -16 6 -16 6 -16 6 -16 5 -17 5 -17 4 -17 4 -17 4 -18 3 -18 3 -18 3 -18 2 -18 1 -19 1 -19 1 -19 0 0 0 0 0 0 0 0 0 0 ]
8.987206220626831,[110 96 6 0 0 0 0 0 0 0 0 0 6 -18 6 -17 8 -17 8 -17 9 -17 9 -17 9 -17 10 -17 10 -17 11 -16 12 -16 12 -15 13 -15 13 -14 12 -14 12 -14 12 -14 12 -13 12 -13 12 -13 12 -13 9 -6 12 -12 12 -12 11 -12 11 -12 0 0 10 -12 10 -12 9 -12 9 -13 9 -12 8 -13 8 -13 8 -13 7 -13 7 -13 6 -13 6 -13 6 -13 6 -13 5 -14 4 -14 5 -14 4 -14 3 -15 3 -15 3 -15 2 -15 3 -16 3 -16 2 -16 2 -16 0 0 0 0 0 0 0 0 0 0 ]
9.082977533340454,[110 96 6 0 0 0 0 0 0 0 0 0 2 19 1 19 0 19 -1 19 -1 19 -2 20 -2 20 -3 20 -3 20 -4 20 -4 20 -5 20 -5 20 -6 19 -6 19 -6 19 -6 19 -6 18 -7 18 -6 18 -6 18 -6 17 -6 16 -6 16 -6 16 -5 16 0 0 -5 16 -4 15 -4 15 -3 15 -3 15 -3 15 -2 15 -2 15 -1 15 -1 15 0 15 0 15 0 15 1 15 1 15 2 15 2 15 3 15 3 15 4 15 4 15 4 15 4 15 5 16 5 16 6 16 0 0 0 0 0 0 0 0 0 0 ]
9.18260669708252,[110 96 6 0 0 0 0 0 0 0 0 0 -2 15 -3 15 -6 15 -5 15 -5 15 -5 15 -6 14 -6 15 -7 15 -7 14 -7 15 -8 14 -7 14 -9 14 -9 14 -8 13 -9 13 -10 12 -9 13 -8 11 -9 12 -6 9 -8 11 -7 11 -8 11 -7 11 0 0 -7 10 -7 11 -6 12 -6 11 -5 12 -7 11 -6 11 -6 12 -4 11 -3 12 -4 12 -4 12 -3 12 -3 12 -3 13 -2 13 -2 12 -1 12 -2 14 -2 13 -1 13 -2 14 0 13 0 14 0 14 0 14 0 0 0 0 0 0 0 0 0 0 ]
9.29659652709961,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -13 -14 -14 -13 -14 -13 -15 -13 -15 -12 -16 -12 -16 -11 -17 -11 -17 -10 -17 -11 -18 -10 -18 -10 -18 -9 -18 -9 -18 -9 -18 -8 -18 -8 -17 -8 -17 -7 -18 -7 -18 -7 -17 -8 -17 -7 -16 -7 -16 -8 -16 0 0 -8 -15 -8 -15 -8 -15 -8 -14 -9 -14 -9 -15 -9 -14 -9 -14 -10 -13 -10 -13 -11 -12 -11 -12 -12 -12 -11 -12 -12 -12 -13 -12 -13 -11 -13 -12 -13 -12 -14 -12 -14 -12 -15 -11 -15 -11 -16 -11 -16 -11 -16 -11 0 0 0 0 0 0 0 0 0 0 ]
