time,CSI
10.73001766204834,[110 96 6 0 0 0 0 0 0 0 0 0 -5 17 -5 17 -7 17 -7 16 -8 16 -7 16 -8 15 -9 16 -8 15 -8 16 -9 15 -9 15 -9 14 -9 15 -10 14 -10 14 -9 14 -10 13 -10 14 -9 13 -9 12 -9 12 -9 13 -9 13 -9 13 -8 13 0 0 -8 13 -8 13 -8 13 -7 12 -7 12 -7 13 -7 13 -8 12 -6 12 -6 13 -6 13 -6 13 -5 13 -5 13 -5 13 -5 13 -5 13 -4 14 -4 13 -4 13 -3 14 -4 13 -3 14 -2 14 -2 14 -2 14 0 0 0 0 0 0 0 0 0 0 ]
10.838573694229126,[37 80 2 0 0 0 0 0 0 0 0 0 6 -23 8 -22 8 -22 9 -22 9 -21 11 -21 11 -21 12 -20 11 -20 12 -20 12 -20 12 -19 12 -19 12 -18 12 -18 12 -18 12 -18 12 -17 12 -17 12 -17 12 -17 12 -16 12 -16 11 -17 11 -17 11 -17 0 0 10 -16 10 -16 10 -17 9 -16 9 -17 9 -17 9 -16 9 -17 8 -16 8 -17 7 -18 7 -17 6 -17 7 -17 7 -18 6 -18 6 -18 6 -19 6 -18 6 -18 5 -19 5 -18 5 -19 4 -19 4 -19 4 -19 0 0 0 0 0 0 0 0 0 0 ]
10.946120738983154,[110 96 6 0 0 0 0 0 0 0 0 0 -9 -18 -9 -17 -7 -17 -7 -18 -5 -17 -6 -19 -5 -17 -5 -18 -4 -18 -4 -18 -4 -17 -3 -18 -3 -17 -3 -18 -3 -18 -2 -17 -2 -17 -3 -16 -2 -17 -2 -17 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 0 0 -3 -16 -3 -15 -3 -16 -3 -15 -3 -15 -4 -15 -4 -15 -4 -15 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -5 -14 -5 -13 -6 -15 -6 -14 -6 -14 -7 -13 -6 -14 -7 -14 -7 -14 -7 -13 -8 -14 -8 -13 -8 -14 0 0 0 0 0 0 0 0 0 0 ]
11.04840874671936,[110 96 6 0 0 0 0 0 0 0 0 0 1 -18 2 -19 2 -18 2 -18 4 -18 3 -19 3 -18 4 -17 4 -18 5 -17 4 -17 5 -17 5 -17 5 -16 6 -16 5 -16 5 -16 5 -16 5 -16 6 -16 6 -15 5 -15 6 -15 5 -15 5 -15 5 -15 0 0 4 -15 5 -16 4 -14 2 -15 2 -15 4 -15 3 -14 2 -14 2 -15 2 -14 3 -14 2 -14 2 -15 3 -15 0 -16 0 -15 0 -14 -2 -16 0 -15 -1 -15 0 -15 -2 -15 -2 -15 -2 -15 -3 -15 -2 -15 0 0 0 0 0 0 0 0 0 0 ]
11.141974925994873,[110 96 6 0 0 0 0 0 0 0 0 0 15 8 15 9 14 10 14 10 14 10 14 11 14 11 12 11 13 11 12 12 13 11 12 12 12 12 12 11 11 12 11 12 11 12 11 11 10 12 10 12 11 11 10 11 11 11 10 11 11 10 10 10 0 0 10 10 10 9 11 9 10 9 10 9 11 9 11 8 11 8 10 8 11 8 11 8 11 7 12 7 12 7 11 6 12 6 12 6 12 7 12 6 12 6 12 5 13 5 13 5 13 5 13 4 13 4 0 0 0 0 0 0 0 0 0 0 ]
11.254994630813599,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -10 -15 -11 -16 -11 -16 -11 -15 -11 -14 -12 -15 -12 -14 -12 -13 -13 -13 -13 -14 -12 -13 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -12 -12 -13 -12 -12 -12 -12 -11 -12 -11 -12 -12 -12 -11 -12 -11 -12 0 0 -11 -11 -12 -10 -11 -11 -11 -10 -12 -11 -12 -10 -11 -9 -12 -9 -11 -9 -12 -9 -13 -9 -12 -9 -12 -8 -13 -8 -13 -7 -13 -7 -12 -8 -14 -7 -13 -8 -13 -6 -14 -7 -14 -6 -13 -6 -14 -6 -14 -6 -14 -6 0 0 0 0 0 0 0 0 0 0 ]
11.348518133163452,[110 96 6 0 0 0 0 0 0 0 0 0 3 17 3 17 2 17 1 17 1 17 0 18 0 17 0 17 0 17 -2 16 -2 17 -2 17 -2 17 -2 16 -2 17 -2 16 -2 16 -2 16 -3 16 -3 15 -2 15 -3 15 -2 15 -2 15 -2 15 -3 15 0 0 -1 15 -2 14 -1 14 -1 14 -1 14 -2 14 -1 14 -1 14 0 14 0 14 1 14 1 14 1 14 1 14 1 13 2 14 3 13 3 13 3 13 3 13 3 14 3 13 3 13 4 13 4 13 4 13 0 0 0 0 0 0 0 0 0 0 ]
11.884948492050171,[37 80 2 0 0 0 0 0 0 0 0 0 1 -24 2 -24 2 -24 3 -25 4 -23 5 -24 5 -23 6 -23 6 -22 7 -22 6 -23 7 -22 7 -22 7 -21 7 -21 7 -21 8 -21 8 -19 8 -21 7 -21 7 -20 7 -20 8 -20 7 -20 7 -20 7 -20 0 0 7 -19 6 -19 6 -19 5 -18 6 -19 5 -19 6 -19 5 -19 4 -18 5 -19 4 -19 4 -18 3 -18 4 -19 3 -19 3 -19 2 -19 2 -19 2 -20 1 -19 1 -20 0 -19 0 -19 0 -20 0 -19 0 -20 0 0 0 0 0 0 0 0 0 0 ]
11.992734909057617,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -12 -11 -14 -10 -13 -10 -14 -9 -14 -10 -14 -9 -14 -9 -14 -8 -14 -8 -14 -8 -14 -8 -14 -7 -14 -7 -14 -7 -14 -7 -14 -7 -15 -7 -13 -7 -14 -7 -14 -7 -14 -7 -14 -7 -13 -7 -14 -6 -13 -7 -13 0 0 -7 -13 -7 -12 -7 -13 -7 -12 -7 -12 -7 -12 -7 -12 -8 -12 -8 -11 -8 -11 -9 -11 -8 -11 -8 -11 -9 -11 -9 -10 -10 -10 -9 -9 -10 -10 -10 -9 -10 -9 -11 -9 -11 -9 -11 -8 -11 -9 -11 -8 -12 -9 0 0 0 0 0 0 0 0 0 0 ]
12.766221284866333,[110 96 6 0 0 0 0 0 0 0 0 0 1 18 1 17 1 17 0 17 -1 17 -1 17 -1 17 -1 17 -1 17 -2 17 -2 17 -3 16 -3 16 -4 15 -3 15 -3 16 -3 16 -3 15 -4 15 -3 15 -3 14 -3 14 -3 14 -3 13 -4 14 -3 14 0 0 -2 13 -2 13 -2 13 -2 13 -2 13 -1 12 -1 13 0 12 0 12 0 12 0 13 0 13 0 13 1 12 1 13 1 13 2 13 2 13 3 13 3 12 3 12 3 12 4 13 4 12 4 13 4 13 0 0 0 0 0 0 0 0 0 0 ]
